country_code,university_name_en,programme_title_en,min_ielts_overall,min_toefl_ibt,min_gpa_4,min_gpa_20,gre_required,gmat_required,work_experience_years_min,entry_notes_en,source_url,last_verified_at
GB,University of Edinburgh,MSc Data Science,7.0,92,3.3,16.5,false,false,,Upper second-class honours or equivalent,https://www.ed.ac.uk/study/postgraduate,2026-05-01
GB,University of Manchester,MSc Artificial Intelligence,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.manchester.ac.uk/study/postgraduate,2026-05-01
GB,Imperial College London,MSc Computer Science,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.imperial.ac.uk/study/postgraduate,2026-05-01
GB,University College London,MSc Advanced Computer Science,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.ucl.ac.uk/study/postgraduate,2026-05-01
GB,King's College London,MSc Machine Learning,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.kcl.ac.uk/study/postgraduate,2026-05-01
GB,University of Bristol,MSc Data Analytics,7.0,92,3.3,16.5,false,false,,Upper second-class honours or equivalent,https://www.bristol.ac.uk/study/postgraduate,2026-05-01
GB,University of Warwick,MSc Computing and Data Science,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://warwick.ac.uk/study/postgraduate,2026-05-01
GB,University of Glasgow,MSc Software Engineering,6.5,92,3.1,15.5,false,false,,Upper second-class honours or equivalent,https://www.gla.ac.uk/study/postgraduate,2026-05-01
GB,University of Birmingham,MSc Cyber Security,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.birmingham.ac.uk/study/postgraduate,2026-05-01
GB,University of Leeds,MSc Robotics and Autonomous Systems,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.leeds.ac.uk/study/postgraduate,2026-05-01
GB,University of Sheffield,MSc Management,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.sheffield.ac.uk/study/postgraduate,2026-05-01
GB,University of Nottingham,MSc Business Analytics,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.nottingham.ac.uk/study/postgraduate,2026-05-01
GB,University of Southampton,MSc International Business,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.southampton.ac.uk/study/postgraduate,2026-05-01
GB,Queen Mary University of London,MSc Marketing,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.qmul.ac.uk/study/postgraduate,2026-05-01
GB,University of Liverpool,MSc Finance and Management,6.5,92,2.8,14.0,false,false,,Upper second-class honours or equivalent,https://www.liverpool.ac.uk/study/postgraduate,2026-05-01
