country_code,name_en,name_fa,city_en,ranking_band,website_url,source_url,last_verified_at
GB,University of Edinburgh,,Edinburgh,top100,https://www.ed.ac.uk,https://www.ed.ac.uk/study/postgraduate,2026-05-01
GB,University of Manchester,,Manchester,top100,https://www.manchester.ac.uk,https://www.manchester.ac.uk/study/postgraduate,2026-05-01
GB,Imperial College London,,London,top100,https://www.imperial.ac.uk,https://www.imperial.ac.uk/study/postgraduate,2026-05-01
GB,University College London,,London,top100,https://www.ucl.ac.uk,https://www.ucl.ac.uk/study/postgraduate,2026-05-01
GB,King's College London,,London,top100,https://www.kcl.ac.uk,https://www.kcl.ac.uk/study/postgraduate,2026-05-01
GB,University of Bristol,,Bristol,top100,https://www.bristol.ac.uk,https://www.bristol.ac.uk/study/postgraduate,2026-05-01
GB,University of Warwick,,Coventry,top100,https://warwick.ac.uk,https://warwick.ac.uk/study/postgraduate,2026-05-01
GB,University of Glasgow,,Glasgow,top100,https://www.gla.ac.uk,https://www.gla.ac.uk/study/postgraduate,2026-05-01
GB,University of Birmingham,,Birmingham,top200,https://www.birmingham.ac.uk,https://www.birmingham.ac.uk/study/postgraduate,2026-05-01
GB,University of Leeds,,Leeds,top200,https://www.leeds.ac.uk,https://www.leeds.ac.uk/study/postgraduate,2026-05-01
GB,University of Sheffield,,Sheffield,top200,https://www.sheffield.ac.uk,https://www.sheffield.ac.uk/study/postgraduate,2026-05-01
GB,University of Nottingham,,Nottingham,top200,https://www.nottingham.ac.uk,https://www.nottingham.ac.uk/study/postgraduate,2026-05-01
GB,University of Southampton,,Southampton,top200,https://www.southampton.ac.uk,https://www.southampton.ac.uk/study/postgraduate,2026-05-01
GB,Queen Mary University of London,,London,top200,https://www.qmul.ac.uk,https://www.qmul.ac.uk/study/postgraduate,2026-05-01
GB,University of Liverpool,,Liverpool,top200,https://www.liverpool.ac.uk,https://www.liverpool.ac.uk/study/postgraduate,2026-05-01
GB,Newcastle University,,Newcastle,top200,https://www.ncl.ac.uk,https://www.ncl.ac.uk/study/postgraduate,2026-05-01
GB,Cardiff University,,Cardiff,top200,https://www.cardiff.ac.uk,https://www.cardiff.ac.uk/study/postgraduate,2026-05-01
GB,University of Exeter,,Exeter,top200,https://www.exeter.ac.uk,https://www.exeter.ac.uk/study/postgraduate,2026-05-01
GB,University of York,,York,top200,https://www.york.ac.uk,https://www.york.ac.uk/study/postgraduate,2026-05-01
GB,London School of Economics,,London,top100,https://www.lse.ac.uk,https://www.lse.ac.uk/study/postgraduate,2026-05-01
