university_name_en,city_en,official_domain,postgraduate_catalogue_url,priority,source_status,notes
University of Oxford,Oxford,ox.ac.uk,https://www.ox.ac.uk/admissions/graduate/courses,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Cambridge,Cambridge,cam.ac.uk,https://www.postgraduate.study.cam.ac.uk/courses,1,pending_2027,Awaiting confirmed 2027 course and fee pages
Imperial College London,London,imperial.ac.uk,https://www.imperial.ac.uk/study/courses/postgraduate-taught/,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University College London,London,ucl.ac.uk,https://www.ucl.ac.uk/prospective-students/graduate/taught-degrees,1,pending_2027,Awaiting confirmed 2027 course and fee pages
London School of Economics and Political Science,London,lse.ac.uk,https://www.lse.ac.uk/study-at-lse/Graduate/degree-programmes,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Edinburgh,Edinburgh,ed.ac.uk,https://www.ed.ac.uk/studying/postgraduate/degrees,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Manchester,Manchester,manchester.ac.uk,https://www.manchester.ac.uk/study/masters/courses/list/,1,pending_2027,Awaiting confirmed 2027 course and fee pages
King's College London,London,kcl.ac.uk,https://www.kcl.ac.uk/study/postgraduate-taught/courses,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Warwick,Coventry,warwick.ac.uk,https://warwick.ac.uk/study/postgraduate/courses/,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Bristol,Bristol,bristol.ac.uk,https://www.bristol.ac.uk/study/postgraduate/search/,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Birmingham,Birmingham,birmingham.ac.uk,https://www.birmingham.ac.uk/study/postgraduate/subjects,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Leeds,Leeds,leeds.ac.uk,https://courses.leeds.ac.uk/?type=PG,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Sheffield,Sheffield,sheffield.ac.uk,https://www.sheffield.ac.uk/postgraduate/taught/courses,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Nottingham,Nottingham,nottingham.ac.uk,https://www.nottingham.ac.uk/pgstudy/courses/courses.aspx,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Southampton,Southampton,southampton.ac.uk,https://www.southampton.ac.uk/courses/postgraduate-taught,1,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Glasgow,Glasgow,gla.ac.uk,https://www.gla.ac.uk/postgraduate/taught/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Durham University,Durham,durham.ac.uk,https://www.durham.ac.uk/study/postgraduate/taught-degrees/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Bath,Bath,bath.ac.uk,https://www.bath.ac.uk/courses/postgraduate/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Exeter,Exeter,exeter.ac.uk,https://www.exeter.ac.uk/study/postgraduate/courses/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of York,York,york.ac.uk,https://www.york.ac.uk/study/postgraduate-taught/courses/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Lancaster University,Lancaster,lancaster.ac.uk,https://www.lancaster.ac.uk/study/postgraduate/postgraduate-courses/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Loughborough University,Loughborough,lboro.ac.uk,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Liverpool,Liverpool,liverpool.ac.uk,https://www.liverpool.ac.uk/courses/postgraduate-taught/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Newcastle University,Newcastle,ncl.ac.uk,https://www.ncl.ac.uk/postgraduate/degrees/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Cardiff University,Cardiff,cardiff.ac.uk,https://www.cardiff.ac.uk/study/postgraduate/taught/courses,2,pending_2027,Awaiting confirmed 2027 course and fee pages
Queen Mary University of London,London,qmul.ac.uk,https://www.qmul.ac.uk/postgraduate/taught/coursefinder/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of East Anglia,Norwich,uea.ac.uk,https://www.uea.ac.uk/course-finder?primaryFilter=Postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Sussex,Brighton,sussex.ac.uk,https://www.sussex.ac.uk/study/masters/courses,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Surrey,Guildford,surrey.ac.uk,https://www.surrey.ac.uk/postgraduate,2,pending_2027,Awaiting confirmed 2027 course and fee pages
University of Strathclyde,Glasgow,strath.ac.uk,https://www.strath.ac.uk/courses/postgraduatetaught/,2,pending_2027,Awaiting confirmed 2027 course and fee pages
